2023-11-18 9:45:27:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-11-18 10:03:23:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-11-18 10:10:09:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-11-18 10:14:15:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-11-18 10:15:46:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-11-18 10:40:35:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-11-18 10:49:42:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:44:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:45:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:46:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:47:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:50:48:捕获未处理异常:DialogHost is already open.
2023-11-18 10:52:41:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:13:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:15:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:15:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:15:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:15:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:15:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:16:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:18:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:18:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:18:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:18:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:18:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:19:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:21:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:21:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:21:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:21:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:22:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:24:捕获未处理异常:DialogHost is already open.
2023-11-18 10:53:24:捕获未处理异常:DialogHost is already open.
2023-11-18 10:57:28:捕获未处理异常:DialogHost is already open.
2023-11-18 10:57:30:捕获未处理异常:DialogHost is already open.
